<th>Number</th><th>Course Title</th><th>Credit</th><th>Seats</th><th>Days</th><th>Times</th><th>Instructor</th><th>Dates</th><th>Prerequisite(s)</th><th>Location</th>
ACC 135-51;Accounting for Decision Making;3;4;T;5:30PM-8:15PM;Kelli-Jo Cloutier; 8/25 - 12/12;None;GBTC 114;
ACC 230-01;Intermediate Accounting I;3;17;MTH;8:30AM-9:45AM;John Padgett; 8/25 - 12/12;ACC-135;GBTC 112;
ACC 325-51;Federal Taxation;3;16;T;5:30PM-8:15PM;Cathy Duffy; 8/25 - 12/12;Complete ACC-135.;JOYC 302;
ACC 390-81;Accounting Internship;2;23;TBA;Barrie Silver; 8/25 - 12/12;Complete ACC-231;
ACC 400-01;Advanced Accounting;3;12;T;8:30AM-11:15AM;Joseph Paquin; 8/25 - 12/12;ACC-231;MIC 305/306;
ANM 100-51;Animation History;3;0;M;5:30PM-8:15PM;Claire Preston; 8/25 - 12/12;None;CCM 221;
ANM 200-01;2D Animation;3;4;T;8:30AM-11:15AM;Gregory Barry; 8/25 - 12/12;GAA 175 Introduction... more;CCM 001;
ANM 245-01;Character Modeling I;3;2;M;8:30AM-11:15AM;Felipe Lega; 8/25 - 12/12;Complete GAA-135;CCM 232;
ANM 245-02;Character Modeling I;3;0;M;8:30AM-11:15AM;Joshua Stutts; 8/25 - 12/12;Complete GAA-135;CCM 001;
ANM 255-01;Rigging for 3D Animation;3;-1;T;11:30AM-2:15PM;Felipe Lega; 8/25 - 12/12;GAA 135 or GAA 175, ... more;CCM 001;
ANM 380-01;Advanced Seminar: Animation;3;3;M;2:30PM-5:15PM;Felipe Lega; 8/25 - 12/12;Complete 60 credits.... more;CCM 001;
ART 110-01;Drawing, Introductory;3;7;T;10AM-12:45PM;Rebecca Schwarz; 8/25 - 12/12;None;SKFA 100;
ART 110-02;Drawing, Introductory;3;3;F;10AM-12:45PM;Sage Tucker-Ketcham; 8/25 - 12/12;None;SKFA 100;
ART 110-51;Drawing, Introductory;3;3;TH;5:30PM-8:15PM;Mallory Breiner; 8/25 - 12/12;None;SKFA 100;
